"Employment Table 1. Experienced Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area",,,,,,,,,,,,,,
"Source: U.S. Census Bureau Household Pulse Survey, Week 46.",,,,,,,,,,,,,,
Note: These data are experimental. Users should take caution using estimates based on subpopulations of the data – sample sizes may be small and the standard errors may be large.**,,,,,,,,,,,,,,
Total Population 18 Years and Older,,,,,,,,,,,,,,
Select characteristics,Total,Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),Experienced loss of employment income in the last 4 weeks (for self or household member),,,,,,,,,,
,,Yes,No,Did not report,,,,,,,,,,
,,,,,,,,,,,,,,
Total,"3,108,848","318,329","2,733,909","56,610",,,,,,,,,,
Age ,,,,,,,,,,,,,,
    18 - 24,"241,618","7,381","231,289","2,948",,,,,,,,,,
    25 - 39,"992,735","128,348","846,678","17,709",,,,,,,,,,
    40 - 54,"871,884","113,972","744,282","13,630",,,,,,,,,,
    55 - 64,"503,939","50,565","439,420","13,954",,,,,,,,,,
    65 and above,"498,672","18,062","472,240","8,370",,,,,,,,,,
Sex at birth ,,,,,,,,,,,,,,
    Male,"1,657,910","173,503","1,457,819","26,588",,,,,,,,,,
    Female,"1,450,938","144,826","1,276,090","30,022",,,,,,,,,,
Gender ,,,,,,,,,,,,,,
    Cisgender male,"1,593,375","171,389","1,402,843","19,143",,,,,,,,,,
    Cisgender female,"1,384,068","131,885","1,225,294","26,889",,,,,,,,,,
    Transgender,"40,169","9,233","30,936",-,,,,,,,,,,
    None of these,"58,882","4,690","54,192",-,,,,,,,,,,
    Did not report,"32,353","1,131","20,644","10,578",,,,,,,,,,
Sexual orientation ,,,,,,,,,,,,,,
    Gay or lesbian,"159,585","17,637","139,975","1,973",,,,,,,,,,
    Straight,"2,564,381","249,076","2,278,468","36,838",,,,,,,,,,
    Bisexual,"176,704","20,491","152,398","3,816",,,,,,,,,,
    Something else,"93,556","18,980","74,576",-,,,,,,,,,,
    I don’t know,"56,670","2,575","54,095",-,,,,,,,,,,
    Did not report,"57,952","9,570","34,397","13,984",,,,,,,,,,
"Lesbian, Gay, Bisexual and Transgender ",,,,,,,,,,,,,,
    Yes,"360,773","42,265","312,720","5,788",,,,,,,,,,
    No,"2,513,451","245,730","2,230,882","36,838",,,,,,,,,,
    Other,"160,607","22,466","138,141",-,,,,,,,,,,
    Did not report,"74,017","7,867","52,165","13,984",,,,,,,,,,
Hispanic origin and Race ,,,,,,,,,,,,,,
    Hispanic or Latino (may be of any race),"340,812","52,293","288,519",-,,,,,,,,,,
"    White alone, not Hispanic","1,918,480","145,206","1,733,110","40,164",,,,,,,,,,
"    Black alone, not Hispanic","155,768","19,493","129,289","6,986",,,,,,,,,,
"    Asian alone, not Hispanic","434,737","38,250","389,174","7,312",,,,,,,,,,
"    Two or more races + Other races, not Hispanic","259,051","63,086","193,818","2,148",,,,,,,,,,
Education ,,,,,,,,,,,,,,
    Less than high school,"188,145","35,031","153,114",-,,,,,,,,,,
    High school or GED,"682,005","94,453","569,985","17,568",,,,,,,,,,
    Some college/associate’s degree,"917,038","112,619","785,875","18,543",,,,,,,,,,
    Bachelor’s degree or higher,"1,321,660","76,226","1,224,934","20,500",,,,,,,,,,
Marital status ,,,,,,,,,,,,,,
    Married,"1,698,906","159,344","1,511,443","28,118",,,,,,,,,,
    Widowed,"86,963","2,071","83,005","1,887",,,,,,,,,,
    Divorced/separated,"373,759","54,211","315,667","3,881",,,,,,,,,,
    Never married,"937,726","102,703","821,252","13,771",,,,,,,,,,
    Did not report,"11,493",-,"2,540","8,953",,,,,,,,,,
Household size ,,,,,,,,,,,,,,
    1 person in the household,"286,392","28,791","254,893","2,708",,,,,,,,,,
    2 people in the household,"1,154,150","99,760","1,031,805","22,584",,,,,,,,,,
    3 people in the household,"608,168","86,297","511,445","10,426",,,,,,,,,,
    4 people in the household,"506,170","37,468","461,312","7,391",,,,,,,,,,
    5 people in the household,"304,047","29,521","273,161","1,366",,,,,,,,,,
    6 people in the household,"142,001","29,633","105,419","6,949",,,,,,,,,,
    7 or more people in the household,"107,920","6,859","95,875","5,186",,,,,,,,,,
Presence of children under 18 years old ,,,,,,,,,,,,,,
    Children in household,"1,105,558","121,375","958,395","25,788",,,,,,,,,,
    Did not report,"2,003,290","196,954","1,775,513","30,823",,,,,,,,,,
Household income ,,,,,,,,,,,,,,
"    Less than $25,000","202,357","33,518","168,839",-,,,,,,,,,,
"    $25,000 - $34,999","193,008","55,223","137,785",-,,,,,,,,,,
